Concepts,Text,Refrences,def,Keywords,Synonyms,Predicate,Object
organizational process assets,the organizational process assets that can inﬂuence the perform quantitative risk analysis process include information from similar completed projects., ,"The ""organization process assets"" that influence the perform qualitative risk analysis process relate to similar completed projects, and these projects also have similar completed tasks.",['risk analysis process include'],"['The ORGANIZATIONAL PROCESS ASSETS ARE THERE.', 'ORGANIZATIONAL PROCESS ASSETS AND ORGANIC PRODUCTION ALERT PROSE SUBMISSION.', 'Occupational PROCESS ASSETS ORGANIZATIONAL PRODUCTION AND ORGANICITY PROSECT ASSISTANTS.', 'ORGANIZATIONAL PROCESS RESISTENTS AND OR GENERAL PRODUCTION SOFTSETS.', 'OrgANIZEAL PROCESS ASSETS AND ORGANIZATIONALPROCEDIAL processes.']",part of,organizational process
expert judgment,"described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge or training in the following topics: translating information on individual project risks and other sources of uncertainty into numeric inputs for the quantitative risk analysis model, selecting the most appropriate representation of uncertainty to model particular risks or other sources of uncertainty, modeling techniques that are appropriate in the context of the project, identifying which tools would be most suitable for the selected modeling techniques, and interpreting the outputs of quantitative risk analysis. ", sections/4.1.2.1_page115.png,"In this chapter, the focus is on identifying and interpreting the most appropriate risk-aware decision making process for the proposed project.","['project risks sources uncertainty', 'tools suitable selected modeling', 'knowledge training following topics', 'techniques interpreting outputs quantitative', 'described section', 'considered individuals groups specialized', 'translating', '4121']","['The EXPERT JUDGMENT is an example of E RADICAL JUGUGUST.', 'PERT JUDGMENT EXPERTS JUDICTION.', 'EXPERT JUDGMENT EFFECTUAL JUGUGMENT – EARNER JUCGEMENT BY CONFORDENCE AND GENERAL JUSTICE, AFGUSTMENT JUAGS MODERN JUJARS POLISH.', 'EXPERT JUDGMENT – EFFECT JUAGS (ETJ) FUNDER JUGUG 1927-ExpETERED JUST GUARANTEES.', 'In the EXPERT JUDGMENT, E if any ExPERP JODGment is an Element JUGMENT?']",subclass of,knowledge
data gathering,"interviews (see section 5.2.2.2) may be used to generate inputs for the quantitative risk analysis, drawing on inputs that include individual project risks and other sources of uncertainty. this is particularly useful where information is required from experts. the interviewer should promote an environment of trust and conﬁdentiality during the interview to encourage honest and unbiased contributions.", sections/5.2.2.2_page178.png,"This chapter discusses the use of an interview to gather information from a stakeholder and other involved parties during a risk analysis. The purpose of the interview is to provide an opportunity for the stakeholder to present their own views about the project, its risks, and other issues that might affect the outcome of the study.","['project risks sources uncertainty', 'interview encourage', 'drawing inputs include individual', '5222 used', 'unbiased']","['The process of data analysis is supported by a range of techniques.', 'DATA SEARCH AND MEASURES IN DATELINE GATHERING.', 'Data analysis - Methods', 'Data collection and analysis for statistical purposes.', 'DATA COMPARITION FOR RESEARCH AND DETAILS.']",facet of,enterprise
interpersonal and team skills,"interpersonal and team skills that can be used for this process include but are not limited to facilitation (see section 4.1.2.3). a skilled facilitator is useful for gathering input data during a dedicated risk workshop involving project team members and other stakeholders. facilitated workshops can improve effectiveness by establishing a clear understanding of the purpose of the workshop, building consensus among participants, ensuring continued focus on the task, and using creative approaches to deal with interpersonal conﬂict or sources of bias.", sections/4.1.2.3_page116.png,A skilled facilitator can help you plan and run a risk-recovery workshop.,"['workshop involving project team', 'deal interpersonal', 'effectiveness establishing', 'skilled', 'input data dedicated risk', 'continued focus task using', 'process include limited', 'section 4123']","['Both Interperssonal and Team Saskatchewan are interpenetrators, with InterraPERSONAL being a more serious matter and team spirit also working together.', 'INTEPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TABLEAUX.', 'The interpersonal game and the team SKILLS program are both interpersive and team-building, with InterraPERSONAL and TEAM KSILLs being more involved.', 'InterPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TEEN POWER.', 'InTERPERSONAL AND TEAM SKILLS.']",subclass of,interpersonal
representations of uncertainty,"quantitative risk analysis requires inputs to a quantitative risk analysis model that reﬂect individual project risks and other sources of uncertainty.where the duration, cost, or resource requirement for a planned activity is uncertain, the range of possible values can be represented in the model as a probability distribution. this may take several forms. the most commonly used are triangular, normal, lognormal, beta, uniform, or discrete distributions. care should be taken when selecting an appropriate probability distribution to reﬂect the range of possible values for the planned activity.individual project risks may be covered by probability distributions. alternatively, risks may be included in the model as probabilistic branches, where optional activities are added to the model to represent the time and/or cost impact of the risk should it occur, and the chance that these activities actually occur in a particular simulation run matches the risk’s probability. branches are most useful for risks that might occur independently of any planned activity. where risks are related, for example, with a common cause or a logical dependency, correlation is used in the model to indicate this relationship.other sources of uncertainty may also be represented using branches to describe alternative paths through the project.",captures/page_39_image_1.png ,"A risk analysis model is used to represent the various sources of uncertainty that may be involved in a planned project. The range of values that can be represented as a probabilistic distribution are described. In some cases, the probability of occurrence of a particular risk may be directly tied to the actual value of the risk.","['quantitative risk analysis requires', 'relationship sources uncertainty represented', 'reﬂect individual project', 'occur particular simulation run', 'taken selecting appropriate probability', 'distribution forms', 'branches optional activities added', 'values planned', 'model represent time andor', 'requires inputs', 'paths', 'related example common', 'triangular normal lognormal', 'cause logical', 'cost', 'beta', 'reﬂect range possible', 'useful', 'added', 'uniform']","['The ""representations of uncertitude"" is a term used to describe the lack of evidence that confirms misCERTAINTY.', 'REPRESENTATIONS OF UNCERTAINTY AND REPERTATIONs OF CONCERN OF ANOTHER THAN THAT CANNOT be SUCCESSFULLY.', 'Representations of UNCERTAINTY REPRESENTATIONS OF UNCONCERTIONALITY.', 'CERTAINTY REPRESENTATIONS OF UNCERTAINTY AND CONFLICT ON CREATING.', 'REPRESENTATIONS OF UNCERTAINTY RESULTS IN BEHAVIOUR OF CONCERN OF CURETY.']",facet of,risk
data analysis,"data analysis techniques that can be used during this process include but are not limited to: simulation. quantitative risk analysis uses a model that simulates the combined effects of individual project risks and other sources of uncertainty to evaluate their potential impact on achieving project objectives. simulations are typically performed using a monte carlo analysis. when running a monte carlo analysis for cost risk, the simulation uses the project cost estimates. when running a monte carlo analysis for schedule risk, the schedule network diagram and duration estimates are used. an integrated quantitative cost-schedule risk analysis uses both inputs. the output is a quantitative risk analysis model.computer software is used to iterate the quantitative risk analysis model several thousand times. the input values (e.g., cost estimates, duration estimates, or occurrence of probabilistic branches) are chosen at random for each iteration. outputs represent the range of possible outcomes for the project (e.g., project end date, project cost at completion). typical outputs include a histogram presenting the number of iterations where a particular outcome resulted from the simulation, or a cumulative probability distribution (s-curve) representing the probability of achieving any particular outcome or less. an example s-curve from a monte carlo cost risk analysis is shown in figure 11-13.figure 11-13. example s-curve from quantitative cost risk analysis10090807060504030201001009080706050403020100$2.0m23% chanceof meetingtargettarget$2.2mexpectedvalue$2.35m85% chanceof costing$2.45m or less$2.1m$2.2m$2.3m$2.4m$2.5m$2.6m$2.7m$2.8mpredicted total project costcumulative probability (%)cumulative probability (%)range of uncertainty for a quantitative schedule risk analysis, it is also possible to conduct a criticality analysis that determines which elements of the risk model have the greatest effect on the project critical path. a criticality index is calculated for each element in the risk model, which gives the frequency with which that element appears on the critical path during the simulation, usually expressed as a percentage. the output from a criticality analysis allows the project team to focus risk response planning efforts on those activities with the highest potential effect on the overall schedule performance of the project. sensitivity analysis. sensitivity analysis helps to determine which individual project risks or other sources of uncertainty have the most potential impact on project outcomes. it correlates variations in project outcomes with variations in elements of the quantitative risk analysis model.one typical display of sensitivity analysis is the tornado diagram, which presents the calculated correlation coefﬁcient for each element of the quantitative risk analysis model that can inﬂuence the project outcome. this can include individual project risks, project activities with high degrees of variability, or speciﬁc sources of ambiguity. items are ordered by descending strength of correlation, giving the typical tornado appearance.  an example tornado diagram is shown in figure 11-14.figure 11-14. example tornado diagramactivity or risk drivingprojection durationcorrelation with project duration-0.2          -0.1          0             0.1           0.2           0.3          0.4           0.5activity b12.3  manufacture reactorsrisk 5.2  dcs may fail installation testrisk 5.7  duplicate test may not be requiredactivity a3.12  construct control roomrisk 4.6  piling contractor may deliver earlyactivity a7.1  provide temporary facilitiesactivity d1.9  install equipmentrisk 7.2  hydrotest may find fewer faults decision tree analysis. decision trees are used to support selection of the best of several alternative courses of action. alternative paths through the project are shown in the decision tree using branches representing different decisions or events, each of which can have associated costs and related individual project risks (including both threats and opportunities). the end-points of branches in the decision tree represent the outcome from following that particular path, which can be negative or positive.the decision tree is evaluated by calculating the expected monetary value of each branch, allowing the optimal path to be selected. an example decision tree is shown in figure 11-15.figure 11-15. example decision treecomputed: payoffs minus costs along pathdecision definitiondecision nodechance nodenet path valuedecision to be madeinput: cost of each decision output: decision madeinput: scenario probability, reward if it occursoutput: expected monetary value (emv) build or upgrade?$80m60%40%60%40%-$30m$36m = .60 ($80m) +             .40 (–$30m)emv (before costs) of build new plant considering demand  $46m = .60 ($70m) +             .40 ($10m)emv (before costs) of upgrade plant considering demand  decision emv = $46m(the larger of $36m and $46m)$80m = $200m – $120m–$30m = $90m – $120m$70m = $120m – $50m$10m = $60m – $50m$70m$10mnote 1: the decision tree shows how to make a decision between alternative capital strategies (represented as “decision nodes”)when the environment contains uncertain elements (represented as “chance nodes”).note 2: here, a decision is being made whether to invest $120m us to build a new plant or to instead invest only $50m usto upgrade the existing plant. for each decision, the demand (which is uncertain, and therefore represents a“chance node”) must be accounted for. for example, strong demand leads to $200m revenue with the new plantbut only $120m us for the upgraded plant, perhaps due to capacity limitations of the upgraded plant. the end of each branch shows the net effect of the payoffs minus costs. for each decision branch, all effects are added (seeshaded areas) to determine the overall expected monetary value (emv) of the decision. remember to account forthe investment costs. from the calculations in the shaded areas, the upgraded plant has a higher emv of $46m – also the emv of the overall decision. (this choice also represents the lowest risk, avoiding the worst case possible outcome of a loss of $30m).decision nodechance nodeend of branchstrong demand($200m)weak demand($90m)strong demand($120m)weak demand($60m)build new plant(invest $120m)upgrade plant(invest $50m)  influence diagrams. inﬂuence diagrams are graphical aids to decision making under uncertainty. an inﬂuence diagram represents a project or situation within the project as a set of entities, outcomes, and inﬂuences, together with the relationships and effects between them. where an element in the inﬂuence diagram is uncertain as a result of the existence of individual project risks or other sources of uncertainty, this can be represented in the inﬂuence diagram using ranges or probability distributions. the inﬂuence diagram is then evaluated using a simulation technique, such as monte carlo analysis, to indicate which elements have the greatest inﬂuence on key outcomes. outputs from an inﬂuence diagram are similar to other quantitative risk analysis methods, including s-curves and tornado diagrams.","captures/page_40_image_1.png ,
captures/page_41_image_1.png ",A risk analysis is a method of evaluating the potential for a particular project risk by simulating the effects of various sources of uncertainty. It can be used to predict the expected value of an investment in a new or upgraded plant.,"['analysis cost risk simulation', 'objectives simulations typically', 'performance project sensitivity analysis', 'risk schedule network diagram', 'data analysis techniques used', 'analysis schedule', 'critical path simulation', 'carlo analysis', 'output criticality analysis allows', 'scurve monte carlo cost', 'computer software used', 'iterate quantitative', 'activity risk driving projection', 'invest 50m influence diagrams', 'estimates occurrence probabilistic branches', 'include individual project', 'scenario probability reward', 'simulates combined', 'response planning', 'running monte', 'cost completion typical', 'decision branch effects added', 'variability speciﬁc sources', 'graphical aids', 'estimates used integrated', 'end date project', 'model typical display', 'control room risk', 'chosen random iteration', 'path decision definition', 'existing plant decision demand', 'including threats opportunities endpoints', 'risk 46 piling', 'probability range', 'value emv build', 'methods including scurves', 'install equipment risk 72', 'usually expressed percentage output', 'process include limited', 'input values', 'duration', 'presents calculated', 'costschedule', 'outputs include histogram', 'node end branch', 'determine overall expected', 'outcomes inﬂuences relationships effects', 'outcome loss 30m', 'chance meeting', 'areas determine overall', 'diagram similar', 'nodes environment contains uncertain', 'evaluate potential', 'selected example', 'payoffs minus', 'aids decision', 'support selection', 'capacity limitations upgraded', 'greatest effect project', 'efforts', 'temporary facilities', 'thousand times', 'faults', 'trees used', 'b123 manufacture reactors risk', 'note decision tree shows', 'accounted example strong demand', 'avoiding worst', 'tornado appearance example tornado', '1113 figure 1113 example', 'build new', '60m 50m 70m', 'usually', 'added', 'predicted', 'strength correlation giving typical', 'index', 'leads 200m revenue new', 'piling contractor deliver early', 'early activity a71 provide', 'selection best alternative courses', '02 03 04 05', 'sources', 'definition', 'shaded areas upgraded plant', 'represented inﬂuence', 'case', 'focus', 'dcs', '72 hydrotest fewer', 'meeting target target 22m', 'remember account', 'element appears critical', 'activities high degrees', 'determine individual', 'a312 construct control', '10 100 90 80', 'possible conduct', 'ambiguity', 'descending', 'duplicate test required', 'shows net', 'environment contains', 'd19 install', 'items ordered', 'set entities', 'uncertain result existence', 'provide', 'alternative capital', 'gives frequency']","['DATA ANALYSIS AND INTEGRATION FOR IDENTIFICATIONS.', 'ANALYSIS OF DATA FOR MODULING INTELLUENT MISAILABILITY.', 'Data ANALYSIS AND DATA INTEGRATION FOR INTELLECTUAL RESULTS.', 'The data analysis process is focused on providing insights into DATA analytics.', 'Data analysis, DATA analytics and BIG data.']",subclass of,data analysis
project documents updates,"project documents that can be considered as outputs for this process include but are not limited to the risk report described in section 11.2.3.2. the risk report will be updated to reﬂect the results of the quantitative risk analysis. this will typically include: assessment of overall project risk exposure. overall project risk is reﬂected in two key measures:un chances of project success, indicated by the probability that the project will achieve its key objectives (e.g., required end date or interim milestones, required cost target, etc.) given the identiﬁed individual project risks and other sources of uncertainty; andun degree of inherent variability remaining within the project at the time the analysis was conducted, indicated by the range of possible project outcomes. detailed probabilistic analysis of the project. key outputs from the quantitative risk analysis are presented, such as s-curves, tornado diagrams, and criticality analysis, together with a narrative interpretation of the results. possible detailed results of a quantitative risk analysis may include:un amount of contingency reserve needed to provide a speciﬁed level of conﬁdence;un identiﬁcation of individual project risks or other sources of uncertainty that have the greatest effect on the project critical path; andun major drivers of overall project risk, with the greatest inﬂuence on uncertainty in project outcomes. prioritized list of individual project risks. this list includes those individual project risks that pose the greatest threat or present the greatest opportunity to the project, as indicated by sensitivity analysis. trends in quantitative risk analysis results. as the analysis is repeated at different times during the project life cycle, trends may become apparent that inform the planning of risk responses. recommended risk responses. the risk report may present suggested responses to the level of overall project risk exposure or key individual project risks, based on the results of the quantitative risk analysis. these recommendations will form inputs to the plan risk responses process.","captures/page_43_image_1.png ,
captures/page_43_image_2.png ,
captures/page_43_image_3.png sections/11.2.3.2_page454.png",The risk report is a summary of the analysis of the risks that are identified in the project plan and summarized in a detailed description of the associated risks.,"['project risk greatest inﬂuence', 'sources uncertainty', 'detailed probabilistic analysis', 'diagrams criticality analysis', 'inform planning', 'speciﬁed level conﬁdence identiﬁcation', 'typically include assessment overall', 'scurves tornado diagrams', 'report described', 'milestones', 'effect project', 'degree inherent variability', 'narrative interpretation', 'process include', 'documents considered', 'success indicated probability', 'measures', 'analysis repeated different times', 'required end date', 'cost target', 'path major drivers overall', 'range possible', 'life cycle trends', 'reserve needed', 'suggested responses level overall', '11232', 'key outputs', 'based', 'reﬂected', 'list individual', 'pose greatest', 'typically']","['Project projects are subject to project document submissions and updates.', 'Projet projects are subject to project documentation, project status updates, and citations.', 'Project DOCUMENTS and UPDATES are the cornerstone of project documentation, but project documents also require updates.', 'PROJECT DOCUMENTS UPDATES AND MODERNS OF PROJETS.', 'WORKING PROJECT DOCUMENTS AND SUPPLEMENTATION IN THE PROGRAMME.']",has part,project team
plan risk responses,"plan risk responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. the key beneﬁt of this process is that it identiﬁes appropriate ways to address overall project risk and individual project risks. this process also allocates resources and inserts activities into project documents and the project management plan as needed. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-16.  figure 11-17 depicts the data ﬂow diagram for the process.figure 11-16. plan risk responses: inputs, tools & techniques, and outputstools & techniquesinputsoutputs.1 expert judgment.2 data gathering• interviews.3 interpersonal and team skills• facilitation.4 strategies for threats.5 strategies for opportunities.6 contingent response   strategies.7 strategies for overall project   risk.8 data analysis• alternatives analysis• cost-benefit analysis.9 decision making• multicriteria decision  analysis.1 project management plan• resource management plan• risk management plan• cost baseline.2 project documents• lessons learned register• project schedule• project team assignments• resource calendars• risk register• risk report• stakeholder register.3 enterprise environmental   factors.4 organizational process assets.1 change requests.2 project management plan   updates• schedule management plan• cost management plan• quality management plan• resource management plan• procurement managementplan• scope baseline• schedule baseline• cost baseline.3 project documents updates• assumption log • cost forecasts• lessons learned register• project schedule• project team assignments• risk register• risk reportplan risk responses • project   charter11.5plan riskresponsesenterprise/organization4.6performintegratedchange controlproject documents updates• assumption log• cost forecasts• lessons learned register• project schedule• project team assignments• risk register• risk report• change requestsproject managementplan updates• schedule management plan• cost management plan• quality management plan• resource management plan• procurement management plan• scope baseline• schedule baseline• cost baselineproject management plan• resource management plan• risk management plan• cost baselineproject documents• lessons learned register• project schedule• resource breakdown structure• resource calendars• risk register• risk report• stakeholder register• enterprise environmental factors• organizational process assetsprojectmanagementplanprojectmanagementplanprojectdocumentsprojectdocumentsfigure 11-17. plan risk responses: data flow diagrameffective and appropriate risk responses can minimize individual threats, maximize individual opportunities, and reduce overall project risk exposure. unsuitable risk responses can have the converse effect. once risks have been identiﬁed, analyzed, and prioritized, plans should be developed by the nominated risk owner for addressing every individual project risk the project team considers to be sufﬁciently important, either because of the threat it poses to the project objectives or the opportunity it offers. the project manager should also consider how to respond appropriately to the current level of overall project risk.risk responses should be appropriate for the signiﬁcance of the risk, cost-effective in meeting the challenge, realistic within the project context, agreed upon by all parties involved, and owned by a responsible person. selecting the optimal risk response from several options is often required. the strategy or mix of strategies most likely to be effective should be selected for each risk. structured decision-making techniques may be used to choose the most appropriate response. for large or complex projects, it may be appropriate to use a mathematical optimization model or real options analysis as a basis for a more robust economic analysis of alternative risk response strategies.speciﬁc actions are developed to implement the agreed-upon risk response strategy, including primary and backup strategies, as necessary. a contingency plan (or fallback plan) can be developed for implementation if the selected strategy turns out not to be fully effective or if an accepted risk occurs. secondary risks should also be identiﬁed. secondary risks are risks that arise as a direct result of implementing a risk response. a contingency reserve is often allocated for time or cost. if developed, it may include identiﬁcation of the conditions that trigger its use.",captures/page_44_image_1.png ,"Plan Risk Responses is the risk management process. It involves identifying, analyzing, and prioritizing all of the project risks in order to develop an appropriate response to each risk. This process takes place throughout the entire project life cycle. In particular, this process helps ensure that projects do not face too many challenges and that they are not exposed to too many risks.","['project risk risk responses', 'skills facilitation strategies threats', 'process performed project', 'management plan procurement management', 'team assignments resource', 'plan cost baseline', 'change control project', 'analysis alternatives analysis', 'report stakeholder', 'inserts activities project documents', 'factors organizational process', 'selecting strategies agreeing actions', 'multicriteria decision analysis project', 'tools techniques outputs tools', 'data gathering interviews interpersonal', 'options required', '1117 plan', 'challenge realistic project', 'consider respond', 'response large complex', 'calendars risk register', 'model real options', '46 perform integrated change', 'individual opportunities reduce overall', 'contingency reserve', 'scope', 'assets change requests', 'breakdown structure', 'register enterprise environmental', 'documents figure', 'lessons learned', 'ways address overall', 'updates schedule management', 'developed implementation', 'ﬂow diagram', 'forecasts', 'key beneﬁt', 'responsible person', 'including primary backup', 'include identiﬁcation conditions trigger', 'inputs', 'allocates resources inserts', 'use mathematical optimization', 'used choose appropriate', 'poses', 'important', 'exposure', 'parties', 'offers', 'costeffective', 'current level', 'charter', 'turns fully effective', 'arise direct result', 'log cost', 'fallback', 'time', 'basis robust', 'likely', 'documents updates assumption log', 'mix', 'performed', 'converse effect', 'agreed']","['Planning by risk factors is the most effective way to manage risk and complexity.', 'IMBRATES ON PLAN RISK RESPONSES RESPONDANCE PONSEX', 'Plan out the risks and draw conclusions.', 'PLAN RISK RESPONSES RESPONDANCE PONSEX EXPECTED IN THIS PAGE.', 'Risk RESPONSES PLAN CRISIS rePONSABILITY POINTS FOR PLOTTING in RELIEF-RISK scenarios.']",studied by,risk management
project management plan,described in section 4.2.3.1. project management plan components include but are not limited to: resource management plan. described in section 9.1.3.1. the resource management plan is used to help determine how resources allocated to agreed-upon risk responses will be coordinated with other project resources. risk management plan. described in section 11.1.3.1. risk management roles and responsibilities and risk thresholds are used in this process. cost baseline. described in section 7.3.3.1. the cost baseline has information on the contingency fund that is allocated to respond to risks. ," sections/4.2.3.1_page122.png, sections/9.1.3.1_page354.png, sections/11.1.3.1_page441.png, sections/7.3.3.1_page290.png",The purpose of the risk management plan is to determine how resources will be used to respond to risk.,"['resources risk management plan', 'baseline described section', 'components include limited', 'contingency', 'cost', 'thresholds used process', 'agreedupon', '4231']","['The PROJECT MANAGEMENT PLAN is designed to manage projects of different sizes and types.', 'Proposed Project Management PLAN as a PROJECT MANAGEMENT PUNCH.', 'Project Management PLAN for PROJECT MANAGEMENT PLOT.', 'PROJECT MANAGEMENT PLAN FOR PROBABILITY and PROBLEM PRACTICE.', 'A PROJECT MANAGEMENT PLAN THAT CANNOT BE FORCEED IN THE PROGRAMME OF PROBABILITY?']",facet of,project risk
project documents,"project documents that can be considered as inputs for this process include but are not limited to: lessons learned register. described in section 4.4.3.1. lessons learned about effective risk responses used in earlier phases of the project are reviewed to determine if similar responses might be useful during the remainder of the project. project schedule. described in section 6.5.3.2. the schedule is used to determine how agreed-upon risk responses will be scheduled alongside other project activities. project team assignments. described in section 9.3.3.2. project team assignments can show the resources that can be allocated to agreed-upon risk responses. resource calendars. described in section 9.2.1.2. resource calendars identify when potential resources are available to be allocated to agreed-upon risk responses. risk register. described in section 11.2.3.1. the risk register contains details of individual project risks that have been identiﬁed and prioritized, and for which risk responses are required. the priority level for each risk can help to guide the selection of appropriate risk responses. for example, high-priority threats or opportunities may require priority action and highly proactive response strategies. threats and opportunities in the low-priority zone may not require proactive management action beyond being placed in the risk register as part of the watch list or adding a contingency reserve.the risk register identiﬁes the nominated risk owner for each risk. it may also contain preliminary risk responses identiﬁed earlier in the project risk management process. the risk register may provide other data on identiﬁed risks that can assist in planning risk responses, including root causes, risk triggers and warning signs, risks requiring responses in the near term, and risks where a need for additional analysis has been identiﬁed. risk report. described in section 11.2.3.2. the risk report presents the current level of overall risk exposure of the project that will inform selection of the risk response strategy. the risk report may also list individual project risks in priority order and provide additional analysis of the distribution of individual project risks that may inform risk response selection. stakeholder register. described in section 13.1.3.1. the stakeholder register identiﬁes potential owners for risk responses."," sections/4.4.3.1_page140.png, sections/6.5.3.2_page253.png, sections/9.3.3.2_page370.png, sections/9.2.1.2_page358.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png, sections/13.1.3.1_page550.png",Lessons learned regarding effective risk responses in earlier stages of the project may be considered when planning future risk response strategies. A risk register is created that identifies individual project risks and which risk responses should be taken.,"['risk responses resource calendars', 'assignments described section', 'scheduled alongside project activities', 'stakeholder register identiﬁes potential', 'resources allocated agreedupon', '9332 project team', 'guide selection', 'require priority action', '6532 schedule used', 'triggers warning', 'management process', 'adding contingency', 'requiring responses near term', 'reserve', 'owner risk', 'project reviewed determine similar', 'analysis identiﬁed', 'identify potential', 'inputs process include limited', 'report presents current', 'phases', 'exposure project', 'provide data', 'level overall', 'example highpriority', 'need', '11232', 'useful remainder', 'agreedupon', 'watch list adding', 'register contains', 'learned', 'distribution individual', 'root causes', 'nominated']","['The project documents are part of the Project Documents.', 'PROJECT DOCUMENTS FROM PRO JOURNAL INTERVIEW WORKS ONLINE.', 'Project DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJETS.', 'DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJECUTION BY PROBLIMATIONALE.', 'Project DOCUMENTS FOR PROJECT DATA.']",has part,project team
enterprise environmental factors,the enterprise environmental factors that can inﬂuence the plan risk responses process include but are not limited to the risk appetite and thresholds of key stakeholders., ,"This paper discusses the ""enterprise environment factors"" that can influence a risk response's process.","['plan risk responses', 'enterprise environmental factors inﬂuence']","['Enterprising enterprise environmental factors such as soil, water, and soil quality are the driving forces behind ENTERPRISE ENTREPRENELED ENVIRONMENTAL FACTORS.', 'ENTIREPRISE ENVIRONMENTAL FACTORS WHO RELATE ENTERPRISING WITH US AND DEVELOPING IN IT.', 'ENTERPRISE ENVIRONMENTAL FACTORS OF ENINTERPRISING ENJOYMENTALS.', 'ENTERPRISE Environmental Environmental Factors are responsible for promoting environmental conservation through enterprise and entrepreneurial activities.', 'ENTERPRISE ENTREPANEOUS ENVIRONMENTAL FACTORS OF THE ENINTERPRISING ENJOYMENTALS.']",subclass of,project management information system
organizational process assets,"the organizational process assets that can inﬂuence the plan risk responses process include but are not limited to: templates for the risk management plan, risk register, and risk report; historical databases; and lessons learned repositories from similar projects.", ,The risk management plan and risk register are now a part of the enterprise's risk management life cycle.,"['plan risk responses process', 'include limited templates', 'historical databases']","['The ORGANIZATIONAL PROCESS ASSETS ARE THERE.', 'ORGANIZATIONAL PROCESS ASSETS AND ORGANIC PRODUCTION ALERT PROSE SUBMISSION.', 'Occupational PROCESS ASSETS ORGANIZATIONAL PRODUCTION AND ORGANICITY PROSECT ASSISTANTS.', 'ORGANIZATIONAL PROCESS RESISTENTS AND OR GENERAL PRODUCTION SOFTSETS.', 'OrgANIZEAL PROCESS ASSETS AND ORGANIZATIONALPROCEDIAL processes.']",part of,organizational process
expert judgment,"described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge in the following topics: threat response strategies, opportunity response strategies, contingent response strategies, and overall project risk response strategies.expert input may be sought from individuals with particular subject matter expertise relevant to a speciﬁc individual project risk, for example, where specialist technical knowledge is required. ", sections/4.1.2.1_page115.png,"In this section, the author outlines the types of expertise that may be sought in order to support the planning and execution of the various risk management activities.","['risk response strategies expert', 'specialized knowledge following topics', 'considered individuals groups', 'relevant speciﬁc', '4121', 'overall']","['The EXPERT JUDGMENT is an example of E RADICAL JUGUGUST.', 'PERT JUDGMENT EXPERTS JUDICTION.', 'EXPERT JUDGMENT EFFECTUAL JUGUGMENT – EARNER JUCGEMENT BY CONFORDENCE AND GENERAL JUSTICE, AFGUSTMENT JUAGS MODERN JUJARS POLISH.', 'EXPERT JUDGMENT – EFFECT JUAGS (ETJ) FUNDER JUGUG 1927-ExpETERED JUST GUARANTEES.', 'In the EXPERT JUDGMENT, E if any ExPERP JODGment is an Element JUGMENT?']",subclass of,knowledge
data gathering,data-gathering techniques that can be used for this process include but are not limited to interviews (see section 5.2.2.2). development of responses to individual project risks and overall project risk may be undertaken during structured or semi-structured interviews (see section 5.2.2.2) with risk owners. other stakeholders may also be interviewed if necessary. the interviewer should promote an environment of trust and confidentiality in the interview setting to encourage honest and unbiased decisions.," sections/5.2.2.2_page178.png, sections/5.2.2.2_page178.png",This chapter discusses the use of structured and semistructured interviews to gather information about individual risks and overall risk. The purpose of these interviews is to promote trust and confidence in the decision making process.,"['risk owners stakeholders interviewed', 'structured semistructured', 'techniques used', 'process include limited', 'setting encourage', '5222', 'honest']","['The process of data analysis is supported by a range of techniques.', 'DATA SEARCH AND MEASURES IN DATELINE GATHERING.', 'Data analysis - Methods', 'Data collection and analysis for statistical purposes.', 'DATA COMPARITION FOR RESEARCH AND DETAILS.']",facet of,enterprise
interpersonal and team skills,"interpersonal and team skills that can be used for this process includes but are not limited to facilitation (see section 4.1.2.3). the use of facilitation improves the effectiveness of developing responses to individual project risks and overall project risk. a skilled facilitator can help risk owners understand the risk, identify and compare alternative possible risk response strategies, choose an appropriate response strategy, and identify and overcome sources of bias.", sections/4.1.2.3_page116.png,A skilled risk manager will be able to use his or her background as a project manager to gain an understanding of the risks that are facing the enterprise and then use this knowledge to make informed decisions about how to respond to these risks.,"['project risk skilled facilitator', 'choose appropriate response strategy', 'process includes', 'possible', 'section 4123 use', 'identify compare']","['Both Interperssonal and Team Saskatchewan are interpenetrators, with InterraPERSONAL being a more serious matter and team spirit also working together.', 'INTEPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TABLEAUX.', 'The interpersonal game and the team SKILLS program are both interpersive and team-building, with InterraPERSONAL and TEAM KSILLs being more involved.', 'InterPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TEEN POWER.', 'InTERPERSONAL AND TEAM SKILLS.']",subclass of,interpersonal
